feature,n_pairs,bleu_corpus,rouge1_f1_mean,rougeL_f1_mean,berts_f1_mean
arm_flexion,431,3.489430204447041,0.3016225208052092,0.22354446583117865,0.6263015822717043
arm_straightening,431,3.509206101390032,0.32587783223633066,0.2505682903442635,0.6346835173891204
arms_move_simultaneously,431,2.4445856951245912,0.30362362671018844,0.2625215845265032,0.6152221344739821
asynchronous_movement,431,1.9444176939778195,0.2764499857930858,0.20617194953013546,0.6149674633262882
blank_stare,431,3.910509980523113,0.2856616826451592,0.23110332721513346,0.6380210590749772
clonic,431,3.8474523003075296,0.3285046187885156,0.24098314129490833,0.6520651015355803
close_eyes,431,3.951385251260607,0.3352223313827553,0.26978796043414294,0.6640288142483085
eye_blinking,431,5.103649638068027,0.35760659311120785,0.3080320728107806,0.6651174236616236
face_pulling,431,2.1579893816300006,0.2947260124835292,0.250869444667498,0.5983303735538315
face_twitching,431,1.554924667530443,0.2887179353653943,0.21831371778494735,0.6273968662988836
figure4,431,6.069236574296281,0.4065994548526006,0.27968832217122036,0.6731214578632966
full_body_shaking,431,8.464133764012367,0.33491989605262046,0.25404139590032687,0.6442857407500185
head_turning,431,4.835867079045953,0.3892349487037254,0.2952287363969041,0.6719299093614874
limb_automatisms,431,2.185435910845098,0.31797012418691584,0.25499604896201866,0.6249211577832561
occur_during_sleep,431,3.87147517399636,0.271551594468083,0.23937418286855217,0.6412049796077879
oral_automatisms,431,7.6744961762895985,0.3358183310581722,0.280472089541646,0.6575563924771727
pelvic_thrusting,431,4.370726715323354,0.3235644410794915,0.258682483863321,0.6373596820643219
tonic,431,3.641177331656467,0.29529984565865547,0.2135238044381022,0.6260129648267255
AVG,431,4.0570055355402594,0.3207206541878688,0.25210572325453234,0.6395848122537982
